Sample	Query	Marker	Start_pos	End_pos	Taxonomy	Abundance	iNode	E.value	LWR	EvoDist	Distances	Depth_m
SI072_10m_contig_classified	k147_388539_1_1	NapA	1	137	r__Root; d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia	0	1131	1.7e-34	1	0.8739	0.3778,0.4962,0.0	10
SI072_10m_contig_classified	k147_135492_1_1	NapA	5	184	r__Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae	0	368	2.7e-45	0.8569170281	0.3351	0.1161,0.219,0.0	10
SI072_10m_contig_classified	k147_331613_3_1	NapA	1	347	r__Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__SCGC-AAA160-P02; s__SCGC-AAA160-P02 sp000383355	0	37	6.8e-41	1	0.0902	0.0577,0.0325,0.0	10
SI072_10m_contig_classified	k147_348981_1_1	NapA	1	224	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales	0	202	2.4e-59	0.4464497822	0.3165	0.0001,0.1619,0.1546	10
SI072_10m_contig_classified	k147_241439_1_1	NapA	1	187	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales	0	1848	4.3e-73	0.7186752379	0.2501	0.0001,0.0001,0.25	10
SI072_10m_contig_classified	k147_337308_1_1	NapA	1	435	r__Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Yoonia	894.947240153898	2431	8.9e-24	0.6179885549	0.2999	0.1194,0.1805,0.0	10
SI072_10m_contig_classified	k147_68998_8_1	NapA	1	331	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Methylophilaceae; g__BACL14; s__BACL14 sp902558495	368.730644510362	191	2.2e-90	1	0.099	0.0648,0.0341,0.0	10
SI072_10m_contig_classified	k147_193202_2_1	NapA	1	303	r__Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Puniceispirillales; f__Puniceispirillaceae	0	407	7.3e-103	1	0.4811	0.0834,0.1807,0.2169	10
SI072_10m_contig_classified	k147_423971_1_1	NapA	12	215	r__Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria	0	2186	4.2e-32	1	0.8439	0.4424,0.4015,0.0	10
SI072_10m_contig_classified	k147_402870_1_1	NapA	1	312	r__Root; d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Acidimicrobiales	0	160	4.3e-85	1	0.6965	0.0543,0.4252,0.217	10
SI072_10m_contig_classified	k147_395308_1_1	NapA	1	321	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales	125.611538239794	204	2.1e-91	0.3304045518	0.2368	0.0001,0.0548,0.1819	10
SI072_10m_contig_classified	k147_237791_1_1	NapA	8	377	r__Root; d__Bacteria; p__Proteobacteria	46.5227919406644	2008	9.3e-44	1	1.1429	0.3414,0.6244,0.1771	10
SI072_10m_contig_classified	k147_406797_3_1	NapA	5	350	r__Root; d__Bacteria	0	2229	1.5e-42	0.4985218352	1.3517	0.0453,0.6632,0.6432	10
