Sample	Query	Marker	Start_pos	End_pos	Taxonomy	Abundance	iNode	E.value	LWR	EvoDist	Distances	Depth_m
SI072_10m_contig	k147_182529_1	NapA	1	190	r__Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__UBA2165; g__GCA-2712665	0.442850408253986	500	2.1e-27	0.6383548572	0.1708	0.0654,0.1054,0.0	10
SI072_10m_contig	k147_133020_1	NapA	1	182	r__Root; d__Bacteria; p__Proteobacteria	0.554779632318181	2276	2.6e-20	1	0.7285	0.3487,0.1054,0.2744	10
SI072_10m_contig	k147_402094_1	NapA	4	193	r__Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__SCGC-AAA160-P02; s__SCGC-AAA160-P02 sp000383355	1.82162178240557	37	2.8e-16	1	0.0547	0.0546,0.0001,0.0	10
SI072_10m_contig	k147_159359_2	NapA	18	728	r__Root; d__Bacteria; p__Proteobacteria	0.46104974010004	76	3e-135	1	1.0568	0.1879,0.5455,0.3234	10
SI072_10m_contig	k147_93631_1	NapA	1	280	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__UBA11654; f__UBA11654	0.673132620546059	195	8.9e-74	0.9473345156	0.469	0.2783,0.1907,0.0	10
SI072_10m_contig	k147_34666_1	NapA	1	238	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales	0.337974537512666	204	2.4e-60	0.4111158332	0.2023	0.0001,0.0203,0.1819	10
SI072_10m_contig	k147_450796_2	NapA	1	244	r__Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria	0.549496016772293	376	2.1e-73	0.3149965083	0.8867	0.0001,0.4146,0.472	10
SI072_10m_contig	k147_337474_1	NapA	1	638	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria	0.421366272642291	434	1e-230	0.7269688049	0.5852	0.0408,0.2188,0.3256	10
SI072_10m_contig	k147_192217_1	NapA	1	641	r__Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Actibacterium	0.912189065225968	495	1.1e-80	0.401995678	0.2386	0.058,0.1806,0.0	10
SI072_10m_contig	k147_2701_4	NapA	1	254	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales	2.00619918280394	2111	4e-20	0.500075653	0.6919	0.2286,0.4633,0.0	10
SI072_10m_contig	k147_135471_1	NapA	16	778	r__Root	0.655033023834833	2230	7.7e-95	1	1.8181	0.2109,0.8482,0.7589	10
SI072_10m_contig	k147_69983_12	NapA	76	767	r__Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae	1.52506609342466	37	2.7e-131	0.9606258039	0.3429	0.1834,0.1595,0.0	10
SI072_10m_contig	k147_112291_1	NapA	1	287	r__Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Pelagibacterales; f__Pelagibacteraceae; g__Pelagibacter; s__Pelagibacter sp902581605	2.25930325927224	187	4.9e-65	1	0.0895	0.0001,0.0895,0.0	10
SI072_10m_contig	k147_395308_1	NapA	1	321	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales	1.80047631027517	204	6.1e-89	0.3299905381	0.236	0.0001,0.054,0.1819	10
SI072_10m_contig	k147_359826_1	NapA	1	448	r__Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria	0.465783732967139	376	2.2e-160	0.6649415196	0.7024	0.0001,0.2304,0.472	10
SI072_10m_contig	k147_141434_1	NapA	1	261	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Arenicellales	0.386857827900034	429	8.8e-78	0.8393228614	0.6702	0.0605,0.3648,0.2449	10
SI072_10m_contig	k147_428887_2	NapA	1	475	r__Root; d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__PCC-6307	0.716246486738059	1131	7.8e-159	1	0.6409	0.3875,0.2534,0.0	10
SI072_10m_contig	k147_151884_7	NapA	39	765	r__Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__LGRT01	5.69607075944703	2215	1e-92	1	0.1761	0.0001,0.1761,0.0	10
SI072_10m_contig	k147_252354_3	NapA	34	757	r__Root	0.773969833085153	2230	1.4e-87	1	1.9056	0.2829,0.8638,0.7589	10
SI072_10m_contig	k147_50681_1	NapA	1	436	r__Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__SCGC-AAA160-P02	0.408192550216718	37	2.5e-73	1	0.1127	0.0989,0.0137,0.0	10
SI072_10m_contig	k147_366862_1	NapA	1	403	r__Root; d__Bacteria; p__Verrucomicrobiota	0.415513963300036	44	2.2e-61	1	1.004	0.4093,0.43,0.1647	10
SI072_10m_contig	k147_96592_3	NapA	1	549	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Halieaceae; g__Luminiphilus	0.525312208411625	194	1.4e-166	1	0.1492	0.0855,0.0637,0.0	10
SI072_10m_contig	k147_37148_1	NapA	1	276	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales	2.12131582883353	204	4.3e-74	0.3046824335	0.2301	0.0001,0.0481,0.1819	10
SI072_10m_contig	k147_282699_1	NapA	1	201	r__Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__CACKLF01	25.2924583660623	373	8e-50	0.8587815535	0.1558	0.1557,0.0001,0.0	10
SI072_10m_contig	k147_74731_2	NapA	1	217	r__Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria	0.586675219741978	407	8.5e-54	0.7583897245	0.8454	0.0795,0.549,0.2169	10
SI072_10m_contig	k147_8785_1	NapA	2	213	r__Root; d__Bacteria	0.346002748878815	2186	1.2e-15	1	1.3219	0.5948,0.7272,0.0	10
SI072_10m_contig	k147_40641_5	NapA	31	764	r__Root; d__Archaea; p__Thermoplasmatota; c__Poseidoniia; o__Poseidoniales; f__Poseidoniaceae	2.52205041901722	2	2.3e-138	0.9566987584	0.5096	0.211,0.2986,0.0	10
SI072_10m_contig	k147_349406_2	NapA	1	233	r__Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Pelagibacterales; f__Pelagibacteraceae; g__Pelagibacter; s__Pelagibacter sp902581605	0.415337148847568	187	3e-39	1	0.0763	0.0001,0.0762,0.0	10
SI072_10m_contig	k147_306396_1	NapA	1	275	r__Root; d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__PCC-6307	0.391640797408616	1131	1.2e-84	1	0.5467	0.4839,0.0628,0.0	10
SI072_10m_contig	k147_226271_1	NapA	1	325	r__Root; d__Bacteria; p__Proteobacteria	0.361344198145891	2167	2.8e-47	1	0.73	0.1875,0.2767,0.2658	10
SI072_10m_contig	k147_211184_3	NapA	53	789	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria	1.08212459252341	2227	7.1e-93	1	0.8814	0.2903,0.5912,0.0	10
SI072_10m_contig	k147_18186_1	NapA	14	502	r__Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae	0.662426733936977	37	3.7e-84	0.944315721	0.3225	0.1745,0.1481,0.0	10
SI072_10m_contig	k147_23091_5	NapA	1	548	r__Root; d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia	0.619183922360218	161	6.2e-166	0.7299287388	0.8214	0.0712,0.3603,0.3899	10
SI072_10m_contig	k147_436512_2	NapA	1	239	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Halieaceae; g__Luminiphilus; s__Luminiphilus sp905182485	0.420707887841287	194	8.5e-58	1	2e-04	0.0001,0.0001,0.0	10
SI072_10m_contig	k147_213533_1	NapA	1	217	r__Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__LGRT01	0.247021145154517	369	1.3e-58	1	0.2493	0.0464,0.2028,0.0	10
SI072_10m_contig	k147_210561_1	NapA	1	465	r__Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Fulvimarina	0.541683975761314	494	5e-48	0.3864349635	0.2601	0.123,0.1371,0.0	10
SI072_10m_contig	k147_204607_10	NapA	2	568	r__Root; d__Bacteria; p__Proteobacteria	1.94013619981641	2058	1.4e-97	1	1.0917	0.3254,0.5557,0.2106	10
SI072_10m_contig	k147_430771_1	NapA	37	774	r__Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Puniceispirillales; f__Puniceispirillaceae; g__UBA4588	1.90345985244387	2220	2.3e-89	1	0.165	0.0001,0.1649,0.0	10
